date,week,year,supplier,country,part_type,max_capacity,packages_ordered,fuel_surcharge,base_cost_per_package,expedite_cost,logistics_cost,penalty_cost
2023-10-23,43,2023,A,Germany,Chassis,20,18,1.35,150,120,2943.0,0.0
2023-10-30,44,2023,A,Germany,Chassis,20,19,1.35,150,120,3106.5,0.0
2023-11-06,45,2023,A,Germany,Chassis,20,19,1.35,150,120,3106.5,0.0
2023-11-13,46,2023,A,Germany,Chassis,20,18,1.35,150,120,2943.0,0.0
2023-11-20,47,2023,A,Germany,Chassis,20,19,1.35,150,120,3106.5,0.0
2023-11-27,48,2023,A,Germany,Chassis,20,17,1.35,150,120,2779.5,0.0
2023-12-04,49,2023,A,Germany,Chassis,20,17,1.35,150,120,2779.5,0.0
2023-12-11,50,2023,A,Germany,Chassis,20,17,1.35,150,120,2779.5,0.0
2023-12-18,51,2023,A,Germany,Chassis,20,19,1.35,150,120,3106.5,0.0
2023-12-25,52,2023,A,Germany,Chassis,20,23,1.35,150,120,3670.5,400.5
2024-01-01,1,2024,A,Germany,Chassis,20,20,1.25,150,120,3250.0,0.0
2024-01-08,2,2024,A,Germany,Chassis,20,24,1.25,150,120,3780.0,530.0
2024-01-15,3,2024,A,Germany,Chassis,20,17,1.25,150,120,2762.5,0.0
2024-01-22,4,2024,A,Germany,Chassis,20,18,1.25,150,120,2925.0,0.0
2024-01-29,5,2024,A,Germany,Chassis,20,18,1.25,150,120,2925.0,0.0
2024-02-05,6,2024,A,Germany,Chassis,20,19,1.25,150,120,3087.5,0.0
2024-02-12,7,2024,A,Germany,Chassis,20,18,1.25,150,120,2925.0,0.0
2024-02-19,8,2024,A,Germany,Chassis,20,18,1.25,150,120,2925.0,0.0
2024-02-26,9,2024,A,Germany,Chassis,20,17,1.25,150,120,2762.5,0.0
2024-03-04,10,2024,A,Germany,Chassis,20,19,1.25,150,120,3087.5,0.0
2024-03-11,11,2024,A,Germany,Chassis,20,17,1.25,150,120,2762.5,0.0
2024-03-18,12,2024,A,Germany,Chassis,20,17,1.25,150,120,2762.5,0.0
2024-03-25,13,2024,A,Germany,Chassis,20,18,1.25,150,120,2925.0,0.0
2024-04-01,14,2024,A,Germany,Chassis,20,16,1.28,150,120,2604.8,0.0
2024-04-08,15,2024,A,Germany,Chassis,20,18,1.28,150,120,2930.4,0.0
2024-04-15,16,2024,A,Germany,Chassis,20,18,1.28,150,120,2930.4,0.0
2024-04-22,17,2024,A,Germany,Chassis,20,18,1.28,150,120,2930.4,0.0
2024-04-29,18,2024,A,Germany,Chassis,20,21,1.28,150,120,3388.8,132.8
2024-05-06,19,2024,A,Germany,Chassis,20,21,1.28,150,120,3388.8,132.8
2024-05-13,20,2024,A,Germany,Chassis,20,16,1.28,150,120,2604.8,0.0
2024-05-20,21,2024,A,Germany,Chassis,20,16,1.28,150,120,2604.8,0.0
2024-05-27,22,2024,A,Germany,Chassis,20,22,1.28,150,120,3521.6,265.6
2024-06-03,23,2024,A,Germany,Chassis,20,16,1.28,150,120,2604.8,0.0
2024-06-10,24,2024,A,Germany,Chassis,20,19,1.28,150,120,3093.2000000000003,0.0
2024-06-17,25,2024,A,Germany,Chassis,20,18,1.28,150,120,2930.4,0.0
2024-06-24,26,2024,A,Germany,Chassis,20,17,1.28,150,120,2767.6000000000004,0.0
2024-07-01,27,2024,A,Germany,Chassis,20,18,1.35,150,120,2943.0,0.0
2024-07-08,28,2024,A,Germany,Chassis,20,18,1.35,150,120,2943.0,0.0
2024-07-15,29,2024,A,Germany,Chassis,20,16,1.35,150,120,2616.0,0.0
2024-07-22,30,2024,A,Germany,Chassis,20,17,1.35,150,120,2779.5,0.0
2024-07-29,31,2024,A,Germany,Chassis,20,26,1.35,150,120,4071.0,801.0
2024-08-05,32,2024,A,Germany,Chassis,20,19,1.35,150,120,3106.5,0.0
2024-08-12,33,2024,A,Germany,Chassis,20,18,1.35,150,120,2943.0,0.0
2024-08-19,34,2024,A,Germany,Chassis,20,17,1.35,150,120,2779.5,0.0
2024-08-26,35,2024,A,Germany,Chassis,20,20,1.35,150,120,3270.0,0.0
2024-09-02,36,2024,A,Germany,Chassis,20,17,1.35,150,120,2779.5,0.0
2024-09-09,37,2024,A,Germany,Chassis,20,18,1.35,150,120,2943.0,0.0
2024-09-16,38,2024,A,Germany,Chassis,20,16,1.35,150,120,2616.0,0.0
2024-09-23,39,2024,A,Germany,Chassis,20,18,1.35,150,120,2943.0,0.0
2024-09-30,40,2024,A,Germany,Chassis,20,19,1.35,150,120,3106.5,0.0
2024-10-07,41,2024,A,Germany,Chassis,20,22,1.4,150,120,3548.0,268.0
2024-10-14,42,2024,A,Germany,Chassis,20,20,1.4,150,120,3280.0,0.0
2024-10-21,43,2024,A,Germany,Chassis,20,19,1.4,150,120,3116.0,0.0
2024-10-28,44,2024,A,Germany,Chassis,20,17,1.4,150,120,2788.0,0.0
2024-11-04,45,2024,A,Germany,Chassis,20,17,1.4,150,120,2788.0,0.0
2024-11-11,46,2024,A,Germany,Chassis,20,17,1.4,150,120,2788.0,0.0
2024-11-18,47,2024,A,Germany,Chassis,20,20,1.4,150,120,3280.0,0.0
2024-11-25,48,2024,A,Germany,Chassis,20,20,1.4,150,120,3280.0,0.0
2024-12-02,49,2024,A,Germany,Chassis,20,19,1.4,150,120,3116.0,0.0
2024-12-09,50,2024,A,Germany,Chassis,20,17,1.4,150,120,2788.0,0.0
2024-12-16,51,2024,A,Germany,Chassis,20,18,1.4,150,120,2952.0,0.0
2024-12-23,52,2024,A,Germany,Chassis,20,17,1.4,150,120,2788.0,0.0
2024-12-30,1,2024,A,Germany,Chassis,20,16,1.4,150,120,2624.0,0.0
